"Date","Return","Vol_HAR","VaR_HAR_1","ES_HAR_1","VaR_HAR_5","ES_HAR_5","RV_AAPL"
2016-09-19,0.59377945327,1.4090011527182,-3.85351354715902,-5.16445167373647,-2.421836066459,-3.45543463979144,1.70285145250557
2016-09-20,0.9369436897,1.39863975086723,-3.82451233016339,-5.12584339861216,-2.4033674993538,-3.42928309265227,1.21620735806288
2016-09-21,-0.027847396268,1.41639408493197,-3.87511007299758,-5.19313817762697,-2.43626060966848,-3.47478492063667,1.0949380182206
2016-09-22,0.61281337039,1.37314939435044,-3.75343407747257,-5.03129585960104,-2.35866778864573,-3.36531656354455,0.588934915567866
2016-09-23,-2.6208933185,1.25312251954284,-3.41531222336198,-4.58153578080902,-2.14314205247438,-3.06100488705485,1.69494997933058
2016-09-26,-2.2649734648,1.1685359181054,-3.17665277400175,-4.26409113271081,-2.01120370063988,-2.85125904390738,0.885903269592112
2016-09-27,2.2398913992,1.26169338002366,-3.43960136766652,-4.61383373486505,-2.19041146726559,-3.08893921394949,0.722821875546585
2016-09-28,2.3805007588,1.16773404930211,-3.17471910050376,-4.26150034576174,-2.01872695410854,-2.85009991743271,0.623282420519577
2016-09-29,3.5386753127,1.13232610055545,-3.07476626944219,-4.12859192590837,-1.95400235242745,-2.75991467685838,1.11462801444146
2016-09-30,3.399838955,1.10045228061564,-2.98478988540287,-4.00896935536938,-1.89572450028934,-2.67872189659739,0.875744174865794
2016-10-03,-0.56242969622,1.16503224603761,-3.16652028413744,-4.25071227796522,-2.01380685718946,-2.84242237594434,0.451733100577745
2016-10-04,-1.1660285417,1.10764341609899,-3.00466566991305,-4.03548176924442,-1.90874179627682,-2.69650892711064,0.977466050080745
2016-10-05,-0.0088043670075,1.0511711298228,-2.84567065985281,-3.82396838638977,-1.80542267637232,-2.55329701631885,0.696212450959689
2016-10-06,-0.017610284249,1.10766082539251,-3.00571119840257,-4.03679159717144,-1.90953971488462,-2.69751557730385,0.678572947333031
2016-10-07,0.94231616022,1.08911280651455,-2.95377011158991,-3.96769333905606,-1.87590934365252,-2.65069192586189,0.682830316340453
2016-10-10,-1.6663758506,1.06597319602608,-2.88888824059794,-3.88143628045078,-1.83402133482628,-2.59210985683979,0.521827266419934
2016-10-11,0.1508295627,1.05603953727694,-2.86119549165258,-3.84456233188608,-1.81604720634219,-2.56719395047507,1.3523373396372
2016-10-12,0.18603827066,1.0435116408819,-2.82622560632534,-3.7979229774708,-1.79318727121388,-2.53584253290804,0.837348499976285
2016-10-13,0.76045627375,1.12878683351729,-3.06675528767208,-4.11782488012447,-1.94922914682442,-2.75266574146523,0.834790720751864
2016-10-14,-1.5533128564,1.0930897132036,-2.96603700497655,-3.98383082013192,-1.88378655943204,-2.66191058805549,0.764566446313453
2016-10-17,0.77553931187,1.09865696669423,-2.98166125887445,-4.00458927694286,-1.89384094194791,-2.67602015076865,0.573047551288912
2016-10-18,-0.46881910666,1.08793413728733,-2.95214648431919,-3.96532148321428,-1.87491782327253,-2.6493922677022,0.326965770230748
2016-10-19,0.42659082828,1.07177273843463,-2.9068991243321,-3.90510950001494,-1.84561662821357,-2.6086323035037,0.378687895034297
2016-10-20,0.044247787628,0.992868024616764,-2.68416671142829,-3.60889654017809,-1.70114323328438,-2.40780062971024,0.723087846825024
2016-10-21,0.74303405563,0.96704009419761,-2.61186319290085,-3.51271526409537,-1.65438681782134,-2.34260883987437,0.419975382649781
2016-10-24,0.14926683652,0.989939296998153,-2.67634935096171,-3.59849766022629,-1.69620757697293,-2.40074071828541,0.297546028611736
2016-10-25,1.7446957741,0.940632978096162,-2.53704183823293,-3.41327971903527,-1.60582955147181,-2.27509790618592,0.314486561086613
2016-10-26,0.21542438608,0.911813739687019,-2.45537864190684,-3.30473612287954,-1.55278947231943,-2.20143378319533,1.44932174058804
2016-10-27,0.89423903701,0.907784525218787,-2.44398230790508,-3.28962329029567,-1.54541764432669,-2.19112822145921,0.671669312924535
2016-10-28,-0.30680074997,1.06879035118601,-2.89922728479866,-3.89502987901754,-1.83016274591269,-2.6008227146217,1.13603835909746
2016-10-31,0.55565053863,1.00053093381066,-2.70644828310264,-3.63861218447812,-1.70589101806008,-2.42714949091829,0.452404461595182
2016-11-01,-0.068009861388,1.07832977738888,-2.92708459667976,-3.93201408430749,-1.84832129001953,-2.62599639465524,0.959670589445939
2016-11-02,-0.068056146392,1.02779680011992,-2.78459451650091,-3.74246070297856,-1.75643563401664,-2.49762716709465,1.03094674965674
2016-11-03,-0.29794841239,1.10305048847793,-2.99666660544602,-4.02454442665111,-1.89344520154359,-2.68872149774263,0.766921089931793
2016-11-04,-0.051229508153,1.0888472471695,-2.95761988930541,-3.97258980168055,-1.86816865805132,-2.6535785980138,1.1781116979803
2016-11-07,-0.3929608748,1.07204729303926,-2.90980608104167,-3.90899607450572,-1.8375415763849,-2.61053602298052,0.591022525386789
2016-11-08,0.90051457973,1.10859958817316,-3.01266376870244,-4.04581359369238,-1.90392306003345,-2.70319349434858,0.667891976729855
2016-11-09,0.50998725037,1.0677298290768,-2.89830067418333,-3.89367998737058,-1.82992373472932,-2.60015212890693,4.17722678229293
2016-11-10,-2.2494714588,1.05974893168686,-2.87452799399616,-3.862086480534,-1.8149771496848,-2.57876081248676,5.86374397695445
2016-11-11,-0.96029068254,1.4514248923422,-3.97775727542332,-5.32981956396961,-2.52838289709404,-3.57304079043867,2.20837211079403
2016-11-14,-0.6638714186,1.72901085473384,-4.75991598943209,-6.37051890255309,-3.03393218315317,-4.27792238644252,3.0807949809111
2016-11-15,-0.15828350333,1.57074945398933,-4.32043114612216,-5.78590812687197,-2.74844762776192,-3.88176539404446,1.5883605979329
2016-11-16,-1.8055310904,1.70499023807004,-4.6993804764369,-6.29032328156268,-2.99308924070589,-4.2233163384614,1.43609699898748
