"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","RV_AAPL"
2014-02-26,1.3176052476,2.00443929093671,1.74038974085432,1.6869819145208,-4.71693298685505,-4.02666738525187,-3.86404071139791,-6.37838095830583,-5.40601776443657,-5.21215219648819,-2.90146115144074,-2.49432160524401,-2.4376211594463,-4.12700131554563,-3.4966670936212,-3.38284322087503,1.49348359833661
2014-02-27,-0.0074632434917,1.97630445838023,1.75795079656537,1.67529004083591,-4.64933781584737,-4.07092635462859,-3.83669396569062,-6.28532692604267,-5.44819955734197,-5.17621035923108,-2.8568248456685,-2.50205904810847,-2.42078912904508,-4.06627202196379,-3.53022530222151,-3.36006507061825,1.2499750540568
2014-02-28,1.5879235707,1.93356273027581,1.71504253238989,1.61690507520974,-4.54946243492508,-3.95439844045407,-3.70283015053285,-6.14493212527661,-5.31843749566609,-4.99699853659071,-2.79317740996372,-2.44715991335043,-2.33591213010816,-3.97523585612238,-3.44461790669316,-3.24370527018774,1.06103321811715
2014-03-03,-0.080818470542,1.91742860452756,1.72337178920139,1.63347196818922,-4.51020251641371,-3.98115896765859,-3.74244742063884,-6.09243720773517,-5.34095126255568,-5.04942711312767,-2.76845308117748,-2.453900183666,-2.36141406144208,-3.94052716243762,-3.4603216227341,-3.27864939538731,1.66723578274038
2014-03-04,0.36765381701,1.87805093114537,1.68541415228233,1.58032225357239,-4.4155613587675,-3.88755774319667,-3.6133955760522,-5.96383418990696,-5.22609000342726,-4.87882945867779,-2.70921365314142,-2.40631251911309,-2.27928843976987,-3.85583420898179,-3.38247874047218,-3.16623566071839,0.809179567272286
2014-03-05,-1.5787834941,1.83933776667623,1.81030897271471,1.52820627692101,-4.3225308344747,-4.26179917483068,-3.48596937372079,-5.83936217350123,-5.61554383733872,-4.71037089186615,-2.65094790165077,-2.6100945420082,-2.19735425890542,-3.77346952023232,-3.64673328027837,-3.05440939309038,0.809433441400445
2014-03-06,-1.1574892532,1.84268546926724,1.81456254116093,1.58282418411794,-4.32978242943037,-4.27054081248993,-3.62378636194485,-5.84698955159132,-5.62720786638908,-4.89238704190485,-2.64739116796534,-2.61278598384254,-2.28084216986169,-3.77508297074702,-3.65079296699697,-3.17067211266989,0.528970306214301
2014-03-07,-1.1107973266,1.82890555010258,1.80777082533395,1.59704493139623,-4.2949560226886,-4.25329287474508,-3.65935804202046,-5.80024751791127,-5.60167951251477,-4.9395386419788,-2.62542571843514,-2.6003027784994,-2.30350514847896,-3.74447977919897,-3.63375394154044,-3.20209857440898,0.696209690620559
2014-03-10,0.43788672047,1.81300574795986,1.79632975290838,1.60707318343448,-4.25746897450477,-4.22716065462506,-3.6833591410076,-5.75057394595671,-5.56975880393638,-4.97066569215208,-2.6023434879912,-2.58463535382062,-2.3190019316637,-3.71168739388198,-3.61282811463072,-3.22241535957508,0.731380074390286
2014-03-11,-1.0406596532,1.77795599307281,1.68421105839227,1.55469311000648,-4.17075021978892,-3.88699341404965,-3.55628894250404,-5.6351507587752,-5.20371325340443,-4.8029399667923,-2.54857815860491,-2.37944941241597,-2.23626446310134,-3.63591482091151,-3.3652264765278,-3.11180317839299,0.598594434446314
2014-03-12,-0.90219514996,1.76173771285964,1.64277764532074,1.56192226511387,-4.13212978704713,-3.79264123684001,-3.57233390057192,-5.58539779365007,-5.09741362503886,-4.82423845617854,-2.52582694573812,-2.33848488066676,-2.24704310654894,-3.60304312592449,-3.29086953410553,-3.12544732508345,0.743055717946719
2014-03-13,1.9947810961,1.74174465722727,1.65598304232965,1.55737344555459,-4.08410513719233,-3.82296435952166,-3.55928956572178,-5.52339618592093,-5.12491040479291,-4.80744247254287,-2.49772994323939,-2.34881549716011,-2.23932376161438,-3.56216122813901,-3.31109507972191,-3.11394104792149,1.11479673873788
2014-03-14,-0.27100270991,1.75345307400017,1.64856888935749,1.61487643661507,-4.11146752423828,-3.81444392989284,-3.69688128977664,-5.55992797937878,-5.12672672478595,-4.99068771274808,-2.51444714064177,-2.35228359348569,-2.32850165977569,-3.58617197162715,-3.3074819476873,-3.23533605938773,1.0460387813624
2014-03-17,0.2888415931,1.72073300659801,1.68387074251555,1.56915728651419,-4.03351535038689,-3.89703153314652,-3.58462689895143,-5.45562924835554,-5.20506815603116,-4.84225804865149,-2.46685191109508,-2.38886659141987,-2.25622983092634,-3.5175377936798,-3.37019988459101,-3.13687611259039,0.542122893197754
2014-03-18,0.65939063206,1.68860858176708,1.630051267849,1.51287692174881,-3.95587116463301,-3.76520314796575,-3.45920241169466,-5.34960826847095,-5.04438205615416,-4.67454397091476,-2.41635185727425,-2.31248484146325,-2.18010442539416,-3.449271774933,-3.25946011288704,-3.02813031847402,0.627072167261614
2014-03-19,0.21082749809,1.658525284688,1.64564408141246,1.47247340204326,-3.8843365368144,-3.79570802984731,-3.35877673287305,-5.25364691278285,-5.07791871988009,-4.54242750254057,-2.37297316148068,-2.32721588942999,-2.11005825589246,-3.38604834304051,-3.28831730026327,-2.94031299079588,0.801367970327899
