"Date","Returns","Sigma2_GARCH","Sigma2_GAS","Sigma2_MSGARCH","RV_APPLE"
2019-07-10,0.98886901214,2.17944876743022,2.42766652251439,2.40365249713972,0.676824400934534
2019-07-11,-0.72823894106,2.04241019628736,2.2115077395696,2.25653767710267,0.506840213459108
2019-07-12,0.7682775713,1.97081378337951,2.13189809388841,2.21805836662378,0.360278050315487
2019-07-15,0.93949827824,1.899106580941,2.06799443624772,2.21935135738187,0.554119800573794
2019-07-16,-0.34598703751,1.81389252058167,1.93991834453094,2.06468104206756,0.463973627646781
2019-07-17,-0.56234718832,1.76507812512391,1.87922217250403,2.01967405225703,0.444722694222021
2019-07-18,1.1359724611,1.67346358222294,1.74153652417509,1.92944801584166,0.626490840136777
2019-07-19,-1.4927550325,1.620845996776,1.67740917999811,1.61732969874346,0.893980361645649
2019-07-22,2.2854040179,1.63897982146155,1.71879649996952,1.72914339944174,0.531181729403157
2019-07-23,0.7817778207,1.80012200758009,1.98711197425993,1.94435248090755,0.541612656313423
2019-07-24,-0.081402030355,2.1465809956001,2.42751210166349,2.46635779133432,0.495246295001634
2019-07-25,-0.79072219278,2.02688044752774,2.23954255424097,2.27784336406476,0.840042713062648
2019-07-26,0.34779248381,1.89160959640815,2.00867895849196,2.02688046992443,0.743897605883328
2019-07-29,0.9338596321,1.84141518280262,1.98158372328544,1.96104984741438,0.606280451569427
2019-07-30,-0.42922548646,1.72826433865053,1.78824216101924,1.76665925922465,0.760635971012887
2019-07-31,2.0404253281,1.69478558141457,1.74360036384747,1.84414900118828,5.47368802176918
2019-08-01,-2.1639128802,1.62554565526853,1.64628276888473,1.60232484937507,5.85536354593233
2019-08-02,-2.1158182602,1.90139245077556,2.0073985572926,2.09102425721381,3.28238620248356
2019-08-05,-5.2347809038,2.28114367109295,2.50499052425876,2.64916449273015,2.91327545103867
2019-08-06,1.8930381711,2.61569519204121,3.01421459006968,3.63283271681359,2.51116510764508
2019-08-07,1.0355329949,5.251560732525,4.46090294794928,4.32588762114023,2.67325898644232
2019-08-08,2.2055868167,4.93495467602448,4.45667911686156,4.13136552631574,0.970240578501456
2019-08-09,-0.82404026443,4.46912723672492,4.05738890428392,3.77712053718207,1.68640475283014
2019-08-12,-0.25374396728,4.39498049961231,4.2989396076756,3.87376091639087,1.43171100237134
2019-08-13,4.2348363926,3.97861327301927,3.93860715067712,3.52716514935951,7.972524288868
2019-08-14,-2.9765038043,3.58008609381637,3.4826669691626,3.30127365206828,3.05612863348303
2019-08-15,-0.49815043158,4.95993074510881,4.72381857643168,4.75343179975048,2.91744257692636
2019-08-16,2.3594725884,5.33272914638148,5.50718538133983,4.44657772931277,1.01873879480611
2019-08-19,1.8644067797,4.736519244134,4.83743434737778,3.67592908192265,0.61385734091841
2019-08-20,0.004753981375,4.70150960425095,5.08194701439113,3.96111062956842,1.05132044842025
2019-08-21,1.0838562463,4.46362493686964,4.97805854034809,3.79548932803789,0.621350329611942
2019-08-22,-0.084650112785,3.94587971872421,4.3026849276503,3.58671032516029,0.908590210145389
2019-08-23,-4.6220465028,3.60905162027701,3.90964270319182,3.14305000069403,4.60851770678978
2019-08-26,1.8999210422,3.26235274480968,3.43899014522737,2.83584979337294,1.45354786305787
2019-08-27,-1.1283839411,5.22016435559878,4.85968774233167,4.94255682710875,1.56277351892011
2019-08-28,0.67104231985,4.92077231935545,4.81690650761058,3.94455594117882,0.948760732595483
2019-08-29,1.6931834769,4.48849147328777,4.50910343889522,3.63473540888231,1.03861487546206
2019-08-30,-0.12918042203,4.0056875680545,3.97929600908756,3.33078828988019,1.15367433242867
2019-09-03,-1.4563571907,3.81727249014774,3.95032117353641,3.3937886505258,1.14354630697307
2019-09-04,1.6966456004,3.40775864716593,3.46250353897202,2.98515764961941,0.364937979499523
2019-09-05,1.9551603806,3.30835169150941,3.52888807494549,3.08271093683986,0.594102477880473
2019-09-06,-0.0093773443041,3.227611824201,3.57187849795752,3.11878433113688,0.61574481561547
2019-09-09,0.42670918119,3.23886351876724,3.74064741996787,3.74697805317242,0.852558219891838
2019-09-10,1.1813045712,2.9099907609242,3.25739219870135,3.25787932086177,2.05543040548577
2019-09-11,3.1795108445,2.64064511101516,2.86380373676706,3.04366836334403,1.37224132831638
2019-09-12,-0.22585983279,2.53725637599416,2.77915691470589,2.5382879977934,1.56782911775844
2019-09-13,-1.9432055045,3.28654036236381,3.57665722082831,3.59122506262923,1.71944422871031
2019-09-16,0.52571428569,2.96248854075982,3.16380973051899,2.91445880240533,0.854668646290605
2019-09-17,0.36380172824,3.0987738136252,3.52200286545125,3.27574104496566,0.514695798544407
2019-09-18,0.93792478474,2.80964072503564,3.11863145974575,3.1625553064002,1.44254099171575
2019-09-19,-0.81249719442,2.55030282562462,2.75497382124976,2.93270580749509,0.778131598106498
2019-09-20,-1.4618030412,2.3924510870439,2.57756424391998,2.83712818052022,1.85937733872119
2019-09-23,0.45469159049,2.27412190921789,2.48461378859796,2.74755685128311,0.797689075613594
