"Date","Return","Vol_HAR","VaR_HAR_1","ES_HAR_1","VaR_HAR_5","ES_HAR_5","RV_APPLE"
2013-07-05,-0.80323193906,1.5227943492082,-3.94569949763914,-5.41322961211327,-2.69535958638841,-4.26389291909856,1.27925713938742
2013-07-08,-0.56777346572,1.49650777724924,-3.87465450462485,-5.36797919367624,-2.64560755968157,-4.19810934051927,2.04406768170539
2013-07-09,1.7588242381,1.44945508755473,-3.74749102468853,-5.20218226459911,-2.55758495982091,-4.10186753611638,2.28837434377739
2013-07-10,-0.38356813066,1.48408235772938,-3.8410177593315,-5.32455151973173,-2.62232689562008,-4.16306939080718,2.12773258918305
2013-07-11,1.5587193688,1.5211667473241,-3.94167194904519,-5.41322961211327,-2.69274448117166,-4.26389291909856,1.08668208051418
2013-07-12,-0.18207859812,1.50852404183318,-3.90767156226801,-5.41322961211327,-2.66817853614594,-4.22108052374299,1.11061703026793
2013-07-15,0.2180488149,1.4142475101108,-3.652056622789,-5.14901705081966,-2.48964078631286,-3.99531464385142,1.01599276141473
2013-07-16,0.6445349054,1.40684124319142,-3.63219160745282,-5.13622233434153,-2.47590633811579,-3.98918923017621,1.28115402680616
2013-07-17,0.02673206327,1.3589950779225,-3.50271490359709,-4.98209687349313,-2.38531484429393,-3.87239966382836,0.855183453139844
2013-07-18,0.33650159185,1.33356980550306,-3.43473168530596,-4.91527033805328,-2.33763458530966,-3.80287111074911,0.616207265506296
2013-07-19,-1.576809231,1.25066183149778,-3.20987092980734,-4.75933506618684,-2.18097591668975,-3.63118965754747,1.13437874747402
2013-07-22,0.32003765155,1.21087407635129,-3.10254582233101,-4.66860060218261,-2.09536724194583,-3.53837098904718,1.38389260070729
2013-07-23,-1.7170603552,1.2498038868072,-3.2078401385249,-4.75933506618684,-2.16840462719149,-3.61751590950815,0.974479866106841
2013-07-24,5.1361607675,1.28344559232499,-3.29910392909883,-4.80021600877162,-2.23170779198542,-3.70706564338867,2.08745807946404
2013-07-25,-0.45628930102,1.2383103913763,-3.17654055396668,-4.74906000690457,-2.14680734767647,-3.5862032176589,1.34396181185805
2013-07-26,0.5678449259,1.36411822472318,-3.51780977908238,-4.98209687349313,-2.38351254048089,-3.86686676005204,0.846616718070338
2013-07-29,1.541985079,1.34026888603466,-3.45400678568573,-4.94829763534552,-2.33945310118309,-3.80287111074911,1.08860534823421
2013-07-30,1.2349538845,1.29286587461614,-3.3257430696117,-4.83102962822414,-2.25050432791021,-3.71689041422483,0.955474785724809
2013-07-31,-0.1742698315,1.29483810302,-3.33106615806289,-4.84950643102937,-2.24349772115536,-3.71204767572148,1.13397447117312
2013-08-01,0.91618235256,1.28164468289254,-3.2978354373826,-4.80776824760408,-2.20873053889367,-3.66356692545487,0.616427329728899
2013-08-02,1.2840613477,1.24969233810659,-3.21147462032368,-4.76641651099338,-2.14938020453822,-3.58588372940431,0.517131047834655
2013-08-05,1.4939248498,1.17634835076407,-3.01309995208156,-4.61642344687771,-2.0130507979833,-3.478460900802,0.907489977207262
2013-08-06,-0.89466396848,1.14875211206938,-2.93878038959265,-4.55882673350291,-1.96200794284192,-3.41305214952459,1.32989297531931
2013-08-07,-0.058033315418,1.16728874335567,-2.98997308337287,-4.59713987421667,-1.99707322794452,-3.46176360138333,1.17785358530698
2013-08-08,-0.19916437559,1.21616478524752,-3.12188306446411,-4.71489337671603,-2.0881141336884,-3.53363518082552,0.907682644943368
2013-08-09,-1.4229626254,1.20498414357013,-3.09152648760793,-4.66489499623851,-2.06733493008795,-3.52081402064912,0.865691135731679
2013-08-12,2.8407965672,1.19542604017926,-3.06502729586814,-4.64546251937178,-2.04929578985016,-3.51227596235263,1.42259401865547
2013-08-13,4.7522252653,1.20515616698599,-3.0909106554292,-4.66489499623851,-2.06687615337918,-3.52081402064912,3.89795879160912
2013-08-14,1.8240496764,1.26893096243151,-3.26281670135959,-4.79736782878311,-2.18487779428399,-3.63100284090349,2.72393811802991
2013-08-15,-0.1183550652,1.5303229695682,-3.97269708914899,-5.49151112518065,-2.67283584025755,-4.24096350230095,1.80366962336041
2013-08-16,0.88771063056,1.52161291670391,-3.94882807394772,-5.41322961211327,-2.65629041640577,-4.21881588422066,0.859518772162846
2013-08-19,1.0769812672,1.50156735450732,-3.89425482467882,-5.41322961211327,-2.61856200064171,-4.16154666569095,1.19933920175783
2013-08-20,-1.313664474,1.44499572802172,-3.74073114374213,-5.21369060207143,-2.51300295073768,-4.04685098211303,1.52840826745488
2013-08-21,0.25744905906,1.45830077297323,-3.77663142907322,-5.25284614595046,-2.53753622948855,-4.08725131476623,1.52896212819834
2013-08-22,0.11943626086,1.38744985239641,-3.55308967479284,-5.03571093433254,-2.39992164278571,-3.90149038631648,1.42129024346993
2013-08-23,-0.38571655796,1.33970670701556,-3.42447439312401,-4.93221618933333,-2.31098156532947,-3.77184142979404,0.588547021681476
2013-08-26,0.38920601983,1.31758332609415,-3.36553082632589,-4.85652539284718,-2.27042844980039,-3.73143516473174,1.09832432979232
2013-08-27,-2.8590174365,1.24547276045924,-3.17097434706612,-4.7620088099543,-2.13595768363118,-3.57619131584233,2.15446795505923
2013-08-28,0.47197036383,1.27616996123914,-3.25363125138717,-4.79336789477973,-2.19930077823671,-3.65092943280871,2.17402806741371
2013-08-29,0.16378214532,1.37508300434677,-3.51991850136974,-5.00086697421938,-2.38384432202709,-3.86381837737761,0.916857256718544
2013-08-30,-0.9119381737,1.40395827875929,-3.59699921915658,-5.08478434579091,-2.43721652581197,-3.94010753469763,0.961713487128886
