"Date","Returns","Sigma2_GARCH","Sigma2_GAS","Sigma2_MSGARCH","RV_AMZN"
2012-07-31,-1.1817527214,5.50455032024325,4.68726986888791,6.75720413551348,2.22655758401666
2012-08-01,-0.51864552079,5.44616334277738,4.61961521522019,6.23041644386465,2.60151782519678
2012-08-02,-0.55151019005,5.36705043692835,4.41827133020142,6.1159182261359,3.15932708243497
2012-08-03,1.8023482517,5.29056111138316,4.23370398850212,6.05422655952892,1.1130496474306
2012-08-06,-0.4170745201,5.25397482766574,4.3244145595052,6.07317036079472,0.78944965435568
2012-08-07,1.098337536,5.17733440035662,4.12686538136663,5.96517071243342,1.54946845962521
2012-08-08,-0.92154210352,5.11254852739018,4.0419831209828,5.9239189084522,0.942515887183097
2012-08-09,-0.1365304206,5.0530183780138,3.94846933014078,5.88302508521797,1.06837203825947
2012-08-10,-0.5596855508,4.97718630774637,3.74836001110058,5.80508213686986,0.843066331368166
2012-08-13,-0.13319011814,4.9101303887957,3.6040247941046,5.76040690792288,1.32722333229032
2012-08-14,0.32266391318,4.83765426820643,3.42374873371553,5.69778870898578,1.82576194848562
2012-08-15,1.8139714397,4.76615362418769,3.258281478648,5.6423166170376,1.3595826963008
2012-08-16,1.7395333165,4.74264778317701,3.38827214997942,5.68673445064224,1.96790591254876
2012-08-17,-0.15731732565,4.71561821564474,3.49580478344911,5.66557928658789,1.33835118087851
2012-08-20,-0.3400091221,4.64798660259156,3.32307959962693,5.55965231374132,0.970118412365546
2012-08-21,-0.37445392145,4.58436134197328,3.17497703706329,5.51245283410356,2.08028731046774
2012-08-22,1.5243265818,4.52282290719768,3.03900146569246,5.46727658396141,2.11902584696986
2012-08-23,-0.78239407649,4.49025196860315,3.10837033821793,5.48020917823013,2.17770425376866
2012-08-24,1.8831001915,4.44082535803442,3.03832321834783,5.4220161622371,1.48738773979963
2012-08-27,-0.74062016774,4.42898775352358,3.19072085814435,5.4701454206652,1.55795381408761
2012-08-28,0.89783535586,4.3797448794366,3.10841048370473,5.38009256254132,1.14458924027669
2012-08-29,0.41038559993,4.32811341458472,3.03817183438971,5.33580113973812,0.945212466542481
2012-08-30,-0.36419553253,4.26934861692591,2.90180186202315,5.28263383571774,1.49692058962055
2012-08-31,0.83258874183,4.2151010104752,2.78015123145256,5.24637093108639,1.40292680442595
2012-09-04,-0.15708704232,4.16579147877016,2.71590583761131,5.21546978434459,2.94577288647867
2012-09-05,-0.66967887687,4.11119107315084,2.5874810855681,5.16852030477289,2.1230145875323
2012-09-06,2.095686784,4.06746146344279,2.52570777919487,5.14909106371032,2.09583586331895
2012-09-07,3.086959981,4.07764619055866,2.73006285722315,5.25245499198241,1.63352205647337
2012-09-10,-0.79107818174,4.16903430279301,3.10079740580103,5.59707410509798,1.2503814386983
2012-09-11,-0.55233575795,4.12749314827646,3.03280103559065,5.22895754992897,1.84107528391533
2012-09-12,-0.015645167605,4.08040653569251,2.92801954301562,5.17192591540906,1.7317362100764
2012-09-13,1.803387709,4.02674005118458,2.78220035615681,5.12276202282022,2.5476178150935
2012-09-14,0.39578850283,4.02017028315448,2.92324734089482,5.18865846674537,1.83255715986086
2012-09-17,-1.2515788266,3.96857792806372,2.79206199101604,5.08662218975783,1.16432706119197
2012-09-18,0.29069767443,3.94978789097567,2.83620731006509,5.11706669859829,1.05782958993892
2012-09-19,1.1323671499,3.89915862260395,2.7020512002941,5.03718333529419,1.01546512741771
2012-09-20,-0.33246713547,3.86578186297097,2.69968973648666,5.03340132670396,1.4059992208531
2012-09-21,-1.2806257429,3.82057722887714,2.58605764385154,4.98555567188706,0.694228067317572
2012-09-24,-1.0350720473,3.80666948323587,2.64505151278051,5.02206773811555,1.31530562086469
2012-09-25,-0.92031161084,3.78236848691309,2.64940856182024,4.99136988555131,1.58793729499614
2012-09-26,-1.1051255644,3.75432603264833,2.63029294347265,4.96569897627767,2.45783014492485
2012-09-27,2.7716585893,3.7341186371442,2.64997479657185,4.96437372479355,2.50387655698956
2012-09-28,-0.88467983933,3.80416763306475,2.97173227178693,5.25875739649405,1.69528635361126
2012-10-01,-0.90830449817,3.77435782420417,2.92887951533281,5.00145111501159,1.90087446499016
2012-10-02,-0.55950160713,3.74607907307107,2.89301496398639,4.97313550634153,2.1053455558374
2012-10-03,2.1229050279,3.70820195879658,2.79710055475898,4.93178728546613,2.26169788139111
2012-10-04,1.7778993437,3.72869882596157,3.00536511114259,5.05637272695081,1.42657315663915
2012-10-05,-0.7524858911,3.72778482994319,3.13464546713453,5.01970234725814,1.36091121935223
2012-10-08,0.21275772706,3.69551818981055,3.05759760400019,4.94098485377794,1.24363387960246
2012-10-09,-3.1266887981,3.65063262992869,2.90691520852826,4.88891412727373,2.5549727784861
2012-10-10,-2.3788651577,3.78616394995261,3.30855105489068,5.57620718033716,2.83476133364478
2012-10-11,-0.3142985428,3.84579589874446,3.59207938486427,5.35657495452134,2.12027254401348
2012-10-12,-0.76160838589,3.80078047279112,3.42595124094267,5.0314833933676,1.78514284796204
2012-10-15,0.75094900149,3.76705913687427,3.33447624605311,5.00980902275692,2.23159228165183
2012-10-16,-0.098288148183,3.72659346124091,3.22564585426154,4.97038025912727,1.80678973434938
2012-10-17,1.4552758876,3.68186943890047,3.06548190359007,4.93070198870123,1.90270021943972
2012-10-18,-1.0667097659,3.66611256306699,3.11769787835641,4.96015767079621,4.17572492529011
2012-10-19,-1.9808045743,3.646411436294,3.10558692296369,4.94231393994426,2.9864492672722
2012-10-22,-2.5916666666,3.67832004346998,3.30472127686527,5.07908490943964,3.58425432680382
2012-10-23,0.22670887156,3.75928161306671,3.6312247776774,5.32879007922156,4.86943221099944
2012-10-24,-2.4838888652,3.71292035596658,3.44827467620059,4.97834216766244,5.28572244634123
2012-10-25,-2.4377434461,3.78336369992069,3.75418501252911,5.28861066884482,4.50246475120683
2012-10-26,6.8724205994,3.84810414794234,4.04983822533405,5.35851864500047,11.028681747011
2012-10-31,-2.2443334453,4.55939135318057,4.89104798939319,15.3570131858693,3.19413904725615
2012-11-01,-0.32336724444,4.58960994432156,5.11622148210793,6.93583519228342,1.5743312021966
2012-11-02,0.12165072803,4.52710320779851,4.86118662378555,5.67163102032983,2.42715784969334
2012-11-05,0.82074705369,4.46243191652616,4.6026473771738,5.56725364586283,2.95765142636452
2012-11-06,1.3783979857,4.40698785286973,4.4330413258628,5.52874713916982,1.27491112225798
2012-11-07,-2.3148678229,4.37075615905127,4.3998108344348,5.52213693170216,2.84575610129588
2012-11-08,-2.0299852453,4.41118193502689,4.65669452978124,5.70304068494988,2.44825310212444
2012-11-09,-0.45744446888,4.4285084209718,4.82775196358996,5.67644884490855,3.66396456558568
2012-11-12,0.070699482967,4.37222206760584,4.60554744638024,5.5025986000008,2.30633771879091
2012-11-13,0.057402746643,4.31130273861653,4.36170288508792,5.44198011009343,2.87857482710209
2012-11-14,-1.610767873,4.25186284331062,4.13226538196634,5.39413171410922,2.13773954582679
2012-11-15,-1.0544965239,4.24533776452674,4.20685886252256,5.46188959503535,3.02104972111831
2012-11-16,2.0992842217,4.21141275228963,4.13432219763598,5.39535916279968,4.7952886511478
2012-11-19,1.9890778316,4.21842109090926,4.30934937941604,5.4680533955737,2.1993827980807
2012-11-20,1.771799225,4.21823228924466,4.44850486876689,5.45917232598972,2.54392764188999
2012-11-21,1.8179484987,4.20537996543491,4.52148693782254,5.42500175545192,2.1373564777371
2012-11-23,0.77721295638,4.19539041671378,4.60423765301475,5.4204130729282,1.28502019033444
2012-11-26,1.5591128898,4.14531846352544,4.42669659874197,5.32123742831958,2.78328172907442
2012-11-27,-0.089606764686,4.12332888170861,4.44192350852136,5.33864144033294,3.10732293333144
2012-11-28,1.5235308545,4.06913121028014,4.21067826341075,5.25389995799527,2.46192477010451
2012-11-29,1.683460807,4.04727806782616,4.22698547138114,5.27704972748019,2.35927970976096
2012-11-30,0.31042305091,4.0337808331901,4.28552454371128,5.2824474290219,1.35338464238753
2012-12-03,-0.68276135689,3.98126465851114,4.06906909938075,5.18646153641542,1.57868154128838
2012-12-04,0.86246465144,3.94097474682235,3.92660721276846,5.16670101562593,1.96573803915095
2012-12-05,0.58295816725,3.89886947766019,3.80393354396102,5.13142093351403,2.52879261685929
2012-12-06,-0.23232005042,3.89886947766019,3.80393354396102,5.13142093351403,2.19956799889636
