"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","RV_AMZN"
2013-01-24,2.0551266272,1.88194468676532,2.19480729907418,1.77422081398412,-4.42058726763894,-4.92870377372058,-3.92184266384623,-6.90884605133544,-7.64269137325833,-6.18960550091869,-2.4847984902864,-2.81064208051057,-2.34992740915479,-4.31602488574701,-4.69719443825662,-4.12060629050903,2.98288827476818
2013-01-25,3.7899276369,1.88818021574918,2.22452327733685,1.82992553686577,-4.43606281137269,-4.99444943440945,-4.04778521981402,-6.90884605133544,-7.83375933851964,-6.36771097035152,-2.49415659881589,-2.85292615283413,-2.42645326721944,-4.32288264080824,-4.74989794325822,-4.2116966052993,1.79425819311801
2013-01-28,-2.7993943449,1.94251886700849,2.46329656996194,1.96640230683514,-4.55668488642424,-5.5426450713965,-4.35815259095999,-7.22070430367143,-8.71044641717381,-6.81695452612683,-2.56796419600254,-3.17226861358538,-2.61027757922452,-4.43731322425896,-5.25651711278061,-4.52208064129917,3.6714357442969
2013-01-29,-5.6839588465,1.97380372761539,2.39511370542969,2.05767326595995,-4.62102402338989,-5.37959451258284,-4.56685144967088,-7.33834603918657,-8.63590772560233,-7.22070430367143,-2.61346351754858,-3.0763541582043,-2.74403455072448,-4.53085061644226,-5.10192181680843,-4.63790848393938,3.7139808700605
2013-01-30,4.7681966584,2.11301001566228,3.57860964623206,2.25424593860656,-5.02066309075544,-8.21298165367689,-5.03595737826268,-7.84571494735714,-11.6999518880167,-7.89690558738182,-2.8092804756187,-4.69799326950364,-3.0138827654297,-4.70167973102136,-7.39421440581212,-5.00645096844202,13.6817268366374
2013-01-31,-2.6631080347,2.19188792447033,3.65856949601968,2.43005189610165,-5.19613131744922,-8.41348838347635,-5.41773157304446,-8.11603242037059,-11.9042543001471,-8.56881797835,-2.91614918157106,-4.81226512532041,-3.25146580355271,-4.85542301966305,-7.61058100396721,-5.34959703028176,4.32468313602159
2013-02-01,-0.18832391715,2.2105815109025,2.71197320257858,2.50281167012015,-5.23510565722015,-6.19110802497978,-5.57068135038825,-8.29689816209375,-9.87508992707333,-8.7135036383881,-2.93902087510307,-3.52247703501712,-3.34869875266201,-4.89423577617739,-5.66532326198613,-5.45853773900199,2.40982339940852
2013-02-04,-1.8943396227,2.18858984431163,2.40709051758101,2.42476301059629,-5.1936955262889,-5.4795634313993,-5.40425391380485,-8.11603242037059,-8.56881797835,-8.56881797835,-2.91494368190189,-3.11216206196301,-3.24348856430709,-4.85542301966305,-5.13946882747386,-5.3364773816575,2.56472477642784
2013-02-05,2.6578967614,2.19040440342477,2.41907223935202,2.44239355123799,-5.19515660376419,-5.50535863271984,-5.441515018316,-8.11603242037059,-8.64006298529767,-8.56881797835,-2.91610274976147,-3.12587940219377,-3.26674779744074,-4.85542301966305,-5.13946882747386,-5.37617340389045,3.15762900598015
2013-02-06,-1.7497845554,2.2015240396895,2.44540484295887,2.50648949778148,-5.21939520458103,-5.5676904460324,-5.57023692483967,-8.1740551659,-8.7135036383881,-8.7135036383881,-2.93190737672213,-3.16047932424122,-3.35126186924739,-4.884459397597,-5.18605185228023,-5.45853773900199,1.78206247574258
2013-02-07,-0.75890473654,2.20073084465346,2.42492213687371,2.51473945329565,-5.21437508407693,-5.51561976998491,-5.58467131027157,-8.11603242037059,-8.64006298529767,-8.79014240329268,-2.93096105689216,-3.12961499173593,-3.3577165196595,-4.884459397597,-5.16259240651264,-5.45853773900199,3.69612273970065
2013-02-08,0.66095377169,2.18344346612895,2.39787224403486,2.45892212696121,-5.18122219194925,-5.45055567859455,-5.44114783752881,-8.11603242037059,-8.56881797835,-8.56881797835,-2.90976439682593,-3.09253758330746,-3.27929146034782,-4.83646657344195,-5.12797830894633,-5.40335124026581,1.93156716394822
2013-02-11,-1.8095056309,2.1645471510039,2.38282530420505,2.39956732812241,-5.14349123419906,-5.41685007395235,-5.30492088954494,-8.05943062933269,-8.56881797835,-8.4286499634,-2.88674919535582,-3.07338830238629,-3.19574174788801,-4.80845411679904,-5.10517342032626,-5.29733233205521,2.2294056466979
2013-02-12,0.57929318464,2.16401952144317,2.40444218829037,2.41372267502707,-5.14256711640946,-5.46439752645649,-5.33223373098769,-8.05943062933269,-8.56881797835,-8.4286499634,-2.88664157821938,-3.09988943804423,-3.21252914158537,-4.80845411679904,-5.12797830894633,-5.32336762432919,1.67317399026925
2013-02-13,4.1631233089,2.14471846890733,2.37528305600735,2.35400929556992,-5.10531119395865,-5.39549945620527,-5.19443045782913,-8.05943062933269,-8.56881797835,-8.11603242037059,-2.86496633042669,-3.0600404114695,-3.12819728333205,-4.75426271383411,-5.07165978233571,-5.15097042764171,3.25211111575321
2013-02-14,-0.085352729366,2.20014585732321,2.60484189514137,2.50176956615717,-5.22822203159002,-5.93138104826205,-5.52337282281026,-8.23429134406939,-9.53195211715455,-8.64006298529767,-2.94020199424146,-3.36625389914961,-3.33459272571759,-4.89423577617739,-5.45853773900199,-5.43082886596863,2.51000625563636
2013-02-15,-1.5413757244,2.18194749265344,2.39840651840108,2.43009027904553,-5.18667572413191,-5.45861503926328,-5.36007276820727,-8.11603242037059,-8.56881797835,-8.56881797835,-2.91313287092972,-3.08778558164013,-3.23309587037324,-4.84591043395735,-5.11652695684663,-5.3364773816575,2.0481269536453
2013-02-19,1.7578935456,2.17935577142894,2.40185869498786,2.42098639886009,-5.1734964855817,-5.46126216109076,-5.34807359407465,-8.11603242037059,-8.56881797835,-8.56881797835,-2.9071968024025,-3.10103672742325,-3.22209154942584,-4.83646657344195,-5.12797830894633,-5.32336762432919,1.31819503484801
2013-02-20,-1.2381835032,2.17288064283482,2.38397379713831,2.42346106623387,-5.16045067349642,-5.44403819232652,-5.34914028964995,-8.05943062933269,-8.56881797835,-8.56881797835,-2.9003120719617,-3.08962604063506,-3.222785162559,-4.83646657344195,-5.11652695684663,-5.32336762432919,3.47713541631351
2013-02-21,-0.17641980412,2.1629118417653,2.3843526865276,2.39226502915341,-5.1372548129738,-5.42571757773255,-5.32625141929198,-8.05943062933269,-8.56881797835,-8.4286499634,-2.88883089865422,-3.08416484942443,-3.19037333929599,-4.81772978715459,-5.10517342032626,-5.28448623249024,2.44449431980959
2013-02-22,-0.195532827,2.14370913041316,2.36454959359208,2.32531094841585,-5.09931699732462,-5.37905614545275,-5.16629192610657,-8.05943062933269,-8.56881797835,-8.05943062933269,-2.8638130781928,-3.05637182854958,-3.09618841409046,-4.75426271383411,-5.07165978233571,-5.12797830894633,1.9461987310228
2013-02-25,-2.0910255443,2.12540165604612,2.3448156348721,2.265841337966,-5.06246197023597,-5.34646698895573,-5.03030897457237,-7.89690558738182,-8.56881797835,-7.89690558738182,-2.84068239570757,-3.03898731275258,-3.01155386941054,-4.75426271383411,-5.06057161278798,-5.00645096844202,2.75530138829878
2013-02-26,-0.19625197228,2.13395015081745,2.38210903494468,2.29826438419177,-5.07370515374121,-5.44369517768758,-5.12236169126074,-7.94936743372593,-8.56881797835,-8.05943062933269,-2.84941231019074,-3.08788017379474,-3.06398492141713,-4.75426271383411,-5.11652695684663,-5.07165978233571,3.87976478089069
2013-02-27,1.4998457744,2.11680291954604,2.33165801019016,2.2405148950059,-5.03707203560272,-5.36341683075105,-4.9816597295298,-7.89690558738182,-8.56881797835,-7.74772826907414,-2.82637346367117,-3.02849104840612,-2.97933813633845,-4.7277030302212,-5.04956447974783,-4.95426089628238,2.76673119964123
2013-02-28,0.3874643875,2.1099393471658,2.33738001504273,2.22988416791893,-5.0191558109801,-5.37082074384666,-4.93989358867436,-7.87769798549818,-8.62654286506512,-7.68177392637119,-2.81475994172399,-3.01740957378181,-2.96327495171659,-4.70399402529266,-5.01134977871344,-4.91797364479641,2.25299585343368
2013-03-01,0.55624929064,2.09447761950732,2.3140278258013,2.17226613920427,-4.98328556320731,-5.32499537146541,-4.81011340433967,-7.7768700308193,-8.48069445481778,-7.63597988987333,-2.79120844748236,-2.9842266066558,-2.88418656349134,-4.65294378556429,-4.94836304756719,-4.79306943487692,2.12340347977149
2013-03-04,2.7733875215,2.08075354506941,2.3077061051905,2.1195437972257,-4.94926173951489,-5.31314389486861,-4.69629708546836,-7.68177392637119,-8.48069445481778,-7.41433081436923,-2.77135035712239,-2.9756720122695,-2.81541321867387,-4.65294378556429,-4.93814885031088,-4.70399402529266,2.43320833207989
2013-03-05,0.90805902382,2.0959903203052,2.37527386413722,2.20249983286291,-4.98442940373454,-5.4701731074136,-4.87907953500203,-7.7768700308193,-8.62654286506512,-7.63597988987333,-2.79302956071514,-3.06613555770833,-2.92596555889912,-4.66128988293856,-5.0660521134558,-4.87841824959698,3.35824735008363
2013-03-06,-0.65314416333,2.08328908956882,2.30497064033405,2.16413860669851,-4.95493265658627,-5.32836934618202,-4.7920742426911,-7.68177392637119,-8.48069445481778,-7.58947495315902,-2.77434356518449,-2.97435969020478,-2.87357601394897,-4.65294378556429,-4.92803135294278,-4.76583554685924,1.55376335214231
2013-03-07,0.032871909207,2.07266474622045,2.29514980183099,2.11758509306239,-4.92610603918247,-5.32809034465998,-4.69441296355047,-7.63597988987333,-8.48069445481778,-7.41433081436923,-2.75482392613756,-2.95389656877393,-2.81204655754136,-4.65483568239058,-4.90150022625408,-4.69748551459541,1.54385053379753
2013-03-08,0.11318825763,2.05700786809924,2.2748836639743,2.05828546042112,-4.89160741135963,-5.2989784202016,-4.55863963869274,-7.63597988987333,-8.48069445481778,-7.21495160362714,-2.73136605100634,-2.93619438423307,-2.73442128882678,-4.63792701143956,-4.88168778220455,-4.63792701143956,1.02064943247762
2013-03-11,-1.0758962761,2.04339983794568,2.2641488954366,2.00143862917347,-4.85738565773901,-5.00298681597447,-4.44259102713013,-7.63597988987333,-7.82656846346429,-6.96778220497662,-2.70869998135104,-2.91799250662314,-2.65779724216827,-4.62100448770793,-4.87185413046683,-4.57107773567296,0.778922276878229
2013-03-12,1.0654770682,2.033694171348,2.27147398110999,1.98862245166404,-4.83887520560166,-5.02219739611338,-4.40254730294295,-7.63597988987333,-7.87769798549818,-6.8726859656675,-2.69733634288232,-2.92711896462799,-2.63729575009482,-4.60424695772445,-4.88168778220455,-4.53860802446793,3.46347598860388
2013-03-13,0.35384671519,2.02258373573216,2.25714343723989,1.96765850454529,-4.814764386477,-4.99270656989222,-4.35358658533388,-7.63597988987333,-7.7768700308193,-6.81204368462561,-2.6818262862748,-2.90639737823446,-2.6086289684845,-4.59590508803696,-4.83329038873251,-4.50675567010373,1.85533582481118
2013-03-14,-3.4023991276,2.00822669940155,2.19872647340086,1.91724582511415,-4.78224252528154,-4.71007163384687,-4.23898563386259,-7.58947495315902,-7.41433081436923,-6.61462476254045,-2.66186296463602,-2.83653207037438,-2.54067443125674,-4.57932012088793,-4.74147582077324,-4.37943894851589,2.00100451466479
2013-03-15,-1.4751260633,2.05248534567518,2.46112802745985,2.03886636311109,-4.87862488312209,-5.66853894700361,-4.5218238986402,-7.63597988987333,-9.12082194611351,-7.17750263408592,-2.72887960674871,-3.19359120663758,-2.71507202484104,-4.63246007390044,-5.28734488030679,-4.61565972735658,1.57651699609482
2013-03-18,-1.5010312427,2.05288479131407,2.30788358379229,2.04723259229732,-4.87143086433687,-4.96278141908261,-4.54411461711604,-7.67209340191186,-7.76768221202105,-7.20139149057857,-2.71935375516173,-2.98467687592395,-2.72152928234739,-4.62858086231956,-4.95140678940895,-4.62858086231956,2.25654647474049
2013-03-19,-0.57388809182,2.05177034083806,2.27954672978359,2.05380186666311,-4.86477280830518,-5.22971028788966,-4.55864645173581,-7.67209340191186,-8.40563437502826,-7.23972941412029,-2.71673575126968,-2.94576320298368,-2.7357724743555,-4.62012895392345,-4.8907712285398,-4.62858086231956,2.83229348541759
2013-03-20,0.3385203383,2.03612653681029,2.25002878108296,2.01192270625632,-4.83618115687012,-4.92231492609106,-4.45935608254158,-7.67209340191186,-7.67209340191186,-7.02075550327067,-2.69754767324316,-2.9019015221106,-2.67693313743072,-4.59506406011747,-4.82293135645665,-4.57851201930433,2.4377517983996
2013-03-21,-1.5112057774,2.02280629093797,2.19957513973472,1.96172285588866,-4.80354657317342,-4.71254684083547,-4.34917657028315,-7.67209340191186,-7.444159691475,-6.82817653653951,-2.67522262220669,-2.83682888897517,-2.60581079979042,-4.58659924736739,-4.73160312804085,-4.49756628608382,1.14768452771263
2013-03-22,1.7206677454,2.01903812756396,2.26037987580027,1.97667102563198,-4.79905276333785,-4.95591259935674,-4.38278673348078,-7.62421149105167,-7.71929963752241,-6.858897077495,-2.67360542051421,-2.9157957290589,-2.62608558288112,-4.58659924736739,-4.84194174525721,-4.52935132376456,1.64720032771836
2013-03-25,-0.67119301648,2.01927327294705,2.2573927280044,1.9969073122516,-4.79329627427949,-4.93055161141718,-4.42943466897727,-7.62421149105167,-7.67209340191186,-6.92167777401026,-2.67050000333154,-2.91087155953644,-2.65597554768679,-4.59359539779301,-4.84159535090796,-4.57686276404805,2.46174638110462
2013-03-26,1.6756503399,2.00859490248018,2.20180726734663,1.96000301614849,-4.76726350558626,-4.69208668977756,-4.34763748040946,-7.62421149105167,-7.444159691475,-6.82817653653951,-2.6547690333507,-2.78133301616842,-2.60562990484167,-4.57686276404805,-4.65288735505045,-4.50387080894292,1.44625755027571
2013-03-27,1.9169451807,2.00430456910919,2.23659233349932,1.98030040262176,-4.76059851933719,-5.09658039114935,-4.39384799909283,-7.62421149105167,-8.09010096763529,-6.858897077495,-2.65165236273358,-2.88962036129375,-2.63194034965918,-4.56857125462371,-4.81306373993235,-4.54401824630723,2.6479982415375
2013-03-28,0.44854881271,2.00463322296971,2.26382102358244,2.01419837325865,-4.76251170420031,-4.95636459409333,-4.46700109606899,-7.62421149105167,-7.71929963752241,-7.02075550327067,-2.65382414936832,-2.92080322962387,-2.67948557710761,-4.57686276404805,-4.87076569500505,-4.59359539779301,1.08633137214637
2013-04-01,-1.8312131788,1.98812929280252,2.17995596901796,1.96789945759356,-4.73155700366948,-4.64762797669979,-4.35729604642126,-7.48742513711429,-7.36001837792121,-6.82817653653951,-2.6347193385555,-2.73168180168467,-2.61227533796693,-4.54401824630723,-4.63592059474107,-4.5197906654584,1.67606577809911
2013-04-02,0.65440923518,1.99247803502005,2.22265209950357,2.00517524548367,-4.74122428686252,-5.09407610624567,-4.43883128361087,-7.48742513711429,-8.09010096763529,-6.95394813382468,-2.64171756755341,-2.89685596243073,-2.66188450449897,-4.54401824630723,-4.82250528219261,-4.58520197447522,1.59912886011244
2013-04-03,-1.6299435673,1.97790858127217,2.22582451385939,1.95499435736925,-4.71916040256049,-5.1169390142313,-4.34207117788356,-7.48742513711429,-8.149969243922,-6.79791398595244,-2.63728565583119,-2.88280770735903,-2.60292234012921,-4.54401824630723,-4.79436906460777,-4.50387080894292,1.24675563634429
2013-04-04,0.019302783585,1.97723550197825,2.24642536964753,1.98055098892029,-4.70611178520542,-5.16223040205325,-4.39612892219833,-7.444159691475,-8.149969243922,-6.858897077495,-2.63862892108238,-2.90929311589189,-2.63471891971303,-4.54401824630723,-4.83203259683564,-4.54401824630723,2.45949615377671
2013-04-05,-1.3895321909,1.96017467870266,2.21810296944931,1.92790786896888,-4.67356089667159,-5.09609736358728,-4.27251437568708,-7.40167918590462,-8.09010096763529,-6.65442526018736,-2.61976814328459,-2.86884832005786,-2.56117149562371,-4.52783481709409,-4.76685591024928,-4.41974340999084,1.92983134628435
2013-04-08,1.3582276501,1.95620894496886,2.23314509614777,1.9373684049868,-4.66771360130492,-5.12647156047808,-4.29112935696335,-7.40167918590462,-8.149969243922,-6.71007635881059,-2.61641454935548,-2.88774407035356,-2.5726366631285,-4.52783481709409,-4.80367508926537,-4.4497208284664,1.64944085755574
2013-04-09,0.84572311243,1.94756587360066,2.22050829989441,1.92695100779663,-4.65320060234234,-5.10294351853129,-4.35049021428661,-7.40167918590462,-8.149969243922,-6.82817653653951,-2.60660328748553,-2.87333618108747,-2.57838198930724,-4.50387080894292,-4.76685591024928,-4.45732979694593,1.84788787858494
2013-04-10,1.3900589722,1.93680017433254,2.20741119782598,1.90644885519861,-4.62706059392726,-5.07124734929826,-4.21864658323061,-7.36001837792121,-8.03219059407692,-6.57392363226222,-2.58961302078409,-2.8548884577092,-2.52986999696264,-4.46497944786245,-4.74884908893697,-4.36881742960659,1.41185970856566
2013-04-11,1.9186463724,1.93087259442067,2.20447359101812,1.90988995283294,-4.61424764052087,-5.07372314319145,-4.22609049738704,-7.36001837792121,-8.03219059407692,-6.57392363226222,-2.58146114456277,-2.85691098211962,-2.53385047753066,-4.45732979694593,-4.74884908893697,-4.37597040956031,1.6447648589269
2013-04-12,1.1191402631,1.9362434851273,2.22421796681401,1.94710280000964,-4.62056389792519,-5.1140376271777,-4.31523745880163,-7.36001837792121,-8.149969243922,-6.76807953523494,-2.58710142642814,-2.8811432864057,-2.58621528152762,-4.46497944786245,-4.79436906460777,-4.46497944786245,1.77021522695916
