"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","RV_APPLE"
2021-09-28,-2.3801334526,1.47714123032559,1.43445029305057,1.51623181680511,-3.79604702180526,-3.71682388861508,-3.86847504407017,-5.64998290967083,-5.573948123648,-5.72956642173696,-2.2558783926345,-2.14566613991156,-2.33298632332754,-3.55704359485934,-3.46680149715949,-3.65477394072071,2.33193408627951
2021-09-29,0.64829821731,1.65264069715265,1.60378019401011,1.72002449003719,-4.2594020834829,-4.15841120723713,-4.39995679511405,-6.24035413298286,-5.9861245544875,-6.41737894405625,-2.55105553761547,-2.40928031167121,-2.66080130556678,-3.95515853244222,-3.71868844990186,-4.12588992017167,1.5557627384282
2021-09-30,-0.93117692377,1.57645273125801,1.61973455593152,1.62324441329166,-4.05987201786904,-4.11380174791595,-4.14447995210174,-5.8565026532186,-5.89839028252619,-5.9412723389,-2.42966167596436,-2.51414254621106,-2.50286023802603,-3.7350090479566,-3.89482526914681,-3.85653953175172,1.77186153127598
2021-10-01,0.81272084808,1.54193305941299,1.48669677718764,1.602529361238,-3.96618439425423,-3.84850621054985,-4.0947715987288,-5.8565026532186,-5.72956642173696,-5.8565026532186,-2.37038072770811,-2.24540097107724,-2.47472404120692,-3.68650096781758,-3.53656671042703,-3.78513145686405,2.15587156929971
2021-10-04,-2.4605678234,1.48966264743167,1.44253843718015,1.53379984327864,-3.82503576934972,-3.7347466490219,-3.91538626740499,-5.68906195427447,-5.573948123648,-5.81347327106136,-2.28281076329695,-2.1633608150837,-2.36528241716974,-3.60925431463371,-3.47470642730928,-3.67854643833434,1.78291476164939
2021-10-05,1.4158401611,1.65487416854603,1.60484554951077,1.73096278200443,-4.26044529891479,-4.22416110582721,-4.43175432608618,-6.24035413298286,-6.18449556003056,-6.41737894405625,-2.55177860951817,-2.49354097705932,-2.69356631171009,-3.95515853244222,-3.82002602743557,-4.17597506783448,1.12355142019637
2021-10-06,0.63071362765,1.61798838587916,1.61606128050234,1.70353780814288,-4.16449022020462,-4.07176694217049,-4.36030860514772,-5.9861245544875,-5.8565026532186,-6.3562121451697,-2.49611226915862,-2.48207235826905,-2.64793981185881,-3.82898671133851,-3.79374276873553,-4.10172186618934,2.10166047017728
2021-10-07,0.90845070426,1.55314665018935,1.56417817195659,1.62351355345009,-3.99630641827303,-3.93214674111471,-4.14895494822407,-5.8565026532186,-5.81347327106136,-5.9861245544875,-2.39534200968089,-2.36195853082973,-2.51615914596269,-3.7028891753908,-3.67125315321497,-3.89482526914681,0.835800133123859
2021-10-08,-0.27217530878,1.50730076219448,1.44659859627353,1.57333145219695,-3.87934505921296,-3.77198904308055,-4.01561113005053,-5.77071968606,-5.64998290967083,-5.8565026532186,-2.32392349533598,-2.23527733213254,-2.42515730808671,-3.6326882220843,-3.52390385512888,-3.72704379030312,1.10661812574823
2021-10-11,-0.062981105657,1.44786792859332,1.41697885331668,1.49200857869945,-3.71939052236584,-3.67040173558488,-3.80332267624935,-5.573948123648,-5.573948123648,-5.64998290967083,-2.22527744678157,-2.11598152530153,-2.30402315964097,-3.52390385512888,-3.41076716610441,-3.60272768684261,1.01318873165564
2021-10-12,-0.91030039912,1.38958605289893,1.3818695299831,1.41234846978631,-3.56924649071138,-3.57768012340214,-3.59222932697632,-5.49866753761154,-5.49866753761154,-5.49866753761154,-2.13036373210874,-2.06089752972057,-2.16540612780584,-3.42352701600495,-3.33111496341521,-3.47623557650103,1.54714740299736
2021-10-13,-0.423998304,1.38029583092091,1.37769308156312,1.42413992330655,-3.54511140473771,-3.56771435739917,-3.62304758601352,-5.42706792408889,-5.49866753761154,-5.53581895262941,-2.11519276047419,-2.05266674061219,-2.18427996194275,-3.40445034217317,-3.33111496341521,-3.48294681724041,1.32870801930521
2021-10-14,2.0225675962,1.34289029177879,1.35673474294156,1.38090163712128,-3.44927037687152,-3.5149296662781,-3.50798546562212,-5.26358272669322,-5.39273131453455,-5.39273131453455,-2.0496481240422,-2.01690820730757,-2.11390540704467,-3.32524744284266,-3.30200053747703,-3.40445034217317,0.563004842177307
2021-10-15,0.75125208696,1.43502481252656,1.42602795857157,1.50336733126223,-3.69638937634283,-3.69825759587311,-3.82730175548389,-5.573948123648,-5.573948123648,-5.72956642173696,-2.19530579763036,-2.12620599871493,-2.30903406817017,-3.48294681724041,-3.42352701600495,-3.60272768684261,0.537397358307054
2021-10-18,1.1806130902,1.40026778350975,1.39616215877321,1.4590981357228,-3.60481832623661,-3.61787431205511,-3.70881007110432,-5.53581895262941,-5.53581895262941,-5.573948123648,-2.138427177978,-2.085682173608,-2.23793825704683,-3.436426374996,-3.37930979806507,-3.52390385512888,0.937381553126566
2021-10-19,1.5080177413,1.39615666241825,1.39253660115917,1.46131835975684,-3.59051697070297,-3.61276390341465,-3.72045763943328,-5.49866753761154,-5.53581895262941,-5.573948123648,-2.13373902899735,-2.08269798396898,-2.24202892120098,-3.433629330651,-3.37638245204545,-3.52835754619032,1.1669219305928
2021-10-20,0.33611185809,1.4279063807847,1.47271900466587,1.51267239617552,-3.67132098562627,-3.6925790570006,-3.85858496532248,-5.573948123648,-5.573948123648,-5.72956642173696,-2.18368283542786,-2.21266681949928,-2.3265161149938,-3.49198003685707,-3.52659405047634,-3.65240797970473,0.892113622591082
2021-10-21,0.14739380949,1.3741115336035,1.37467316980774,1.43208758729357,-3.53286978944653,-3.56953892736122,-3.6448704341385,-5.39273131453455,-5.49866753761154,-5.573948123648,-2.09798050845996,-2.05222329371736,-2.19541355647834,-3.41217621407783,-3.33772743429488,-3.49198003685707,1.28022768723791
2021-10-22,-0.52849879585,1.32324810610432,1.33683520466783,1.35174044004185,-3.39832185991218,-3.46923168794962,-3.43161782521091,-5.20355937282951,-5.26358272669322,-5.23311599438333,-2.01449742855121,-1.99498139722694,-2.06505221013214,-3.30819804832818,-3.27912499726311,-3.34369157482383,0.943529315807658
2021-10-25,-0.033627009179,1.29672281723298,1.31959448899613,1.31999326021636,-3.32615986814069,-3.42422682183524,-3.35028056301648,-5.06515546102879,-5.20355937282951,-5.06515546102879,-1.97119658274798,-1.96573568624335,-2.01776671121012,-3.27337180400708,-3.27337180400708,-3.30819804832818,0.71127503055154
2021-10-26,0.45748116263,1.25568031769434,1.17858914188125,1.25422704844278,-3.21907068956797,-3.00280301272548,-3.17643671623188,-4.89263341981096,-4.56125974497556,-4.78366514539231,-1.90455143470478,-1.78414847780319,-1.91221777243461,-3.21128595194388,-3.13010414690913,-3.21128595194388,1.04980726299325
2021-10-27,-0.31476024642,1.22377619521179,1.1373896819159,1.19604870873261,-3.13222621757379,-2.89949763747575,-3.02386213102518,-4.68596034848072,-4.43012779952551,-4.57873403795506,-1.85178331382226,-1.71251568444566,-1.81905004571914,-3.17851505768354,-3.05220806829476,-3.16206568052398,0.728031731636153
2021-10-28,2.4991602282,1.19635273789117,1.26382316165676,1.15533387693957,-3.06294219295957,-3.28028055508017,-2.91522785851343,-4.59603062207955,-5.01352220996029,-4.43012779952551,-1.80698865199943,-1.877373299942,-1.7525384607467,-3.15119946698145,-3.18939689422116,-3.08766009598423,1.03513571891385
2021-10-29,-1.8155600707,1.40454138331148,1.39100774300665,1.35255154646557,-3.60874571694585,-3.61368276108345,-3.43263136704946,-5.53581895262941,-5.53581895262941,-5.23311599438333,-2.14176737793303,-2.07708026545798,-2.06982291858425,-3.46475099761231,-3.3803793322476,-3.34967798686056,2.68723668474155
