"Date","Returns","Sigma2_HAR","RV_AMZN"
2014-04-07,-1.6222910218,3.25001174919552,9.20546622447917
2014-04-08,2.9298841893,6.58321580337235,6.80518595253222
2014-04-09,1.4477023269,6.50473612690759,4.83353582311629
2014-04-10,-4.4288060759,6.44115344376592,5.39842955345776
2014-04-11,-1.6965721674,6.11688673485303,8.60720469824522
2014-04-14,1.3409039875,6.49960286073936,4.42008869105445
2014-04-15,0.053812794795,6.93694108743768,8.37957049559824
2014-04-16,2.4044545684,5.36334086183434,6.33829220019664
2014-04-17,0.38000494333,6.55768744598831,5.5262030010603
2014-04-21,1.8343541287,6.23549027638296,2.45528899736985
2014-04-22,-0.46846193381,6.06785386338177,2.98236626138348
2014-04-23,-1.4393295274,4.62220275745596,3.97651653308936
2014-04-24,3.8726970237,4.60380746492865,4.39533768578175
2014-04-25,-9.8828414652,4.37768855651612,11.4951601196615
2014-04-28,-2.3862028109,4.27628701268753,10.915114358926
2014-04-29,1.2812731809,6.77683672104487,5.34054545029856
2014-04-30,1.2484186696,7.5945959343954,3.99526088734226
2014-05-01,1.2363134187,6.41631831135637,3.20345356647367
2014-05-02,0.038974958443,6.08008774588061,3.91111279394307
2014-05-05,0.66231615856,5.74824774802969,2.82165352083658
2014-05-06,-4.0864376713,5.11056278581161,2.19488689604243
2014-05-07,-1.5703813303,3.94701654460444,4.97416201236225
2014-05-08,-1.4997779374,3.43914917698618,4.65749175729762
2014-05-09,1.3596004441,4.2095366137767,7.51927042378722
2014-05-12,3.6339994524,4.26275607112496,2.13441460542928
2014-05-13,0.58773030451,5.38406389870683,1.90829291033919
2014-05-14,-2.3043592437,3.92560843327442,2.5581686969643
2014-05-15,-0.81647738743,3.81589887701542,4.16620490263246
2014-05-16,0.8502998071,3.68309119233131,2.74320064764612
2014-05-19,-0.31743365817,4.036210489402,1.92015607132654
2014-05-20,1.494498829,3.12129444366095,3.19851104225603
2014-05-21,1.2683024004,2.86327025309148,1.57703311621362
2014-05-22,-0.032785810163,3.31348881734782,2.18781332080619
2014-05-23,2.403988062,2.78959644381992,1.03710404860299
2014-05-27,-0.45477837575,2.72270030087902,1.77433941934709
2014-05-28,-0.21234154801,2.22554240457339,2.82769525944652
2014-05-29,1.1671395408,2.38002584594988,2.22136741291328
2014-05-30,-0.39199439107,2.55375931965399,1.84719567831099
2014-06-02,-1.1870100784,2.4211975815994,1.43847444489683
2014-06-03,-0.53425722053,2.26890286058286,1.31940000195424
2014-06-04,-0.13346788637,2.19528483976335,1.82179903408565
2014-06-05,5.4729773779,2.10544226658395,3.67570266947727
2014-06-06,1.8852180365,2.11083331600711,2.89799564936209
2014-06-09,-0.65823399163,2.74153842995747,2.38554671935239
2014-06-10,1.4992366414,2.66428110504178,2.15476483017945
2014-06-11,0.83932492998,2.62440833702342,2.03088415072542
2014-06-12,-2.7714797136,2.64067544657078,2.33943639501621
2014-06-13,0.11045994288,2.60090529741361,1.89402411519487
2014-06-16,0.41376773843,2.53368485530837,1.68331418662899
2014-06-17,-0.61046334185,2.31078066402777,2.07832523590756
2014-06-18,2.6902524416,2.17536562962761,3.61573019376723
2014-06-19,-2.2070698008,2.25629000436069,2.54024086441359
2014-06-20,-0.85626911305,2.82199639927358,2.06859563697921
2014-06-23,0.93769278228,2.57714969304835,1.59410820332734
2014-06-24,-0.94120523172,2.47063426397242,1.83361401424688
2014-06-25,1.0118460019,2.33968894999447,2.33241008731221
2014-06-26,-0.53444905925,2.37186153799593,1.94691525411225
2014-06-27,-0.34388528975,2.364768715232,0.956430833201412
2014-06-30,0.064700988878,2.20309970856539,1.72454269321534
2014-07-01,2.3431245769,1.82125736846918,1.49831343772838
2014-07-02,0.1383916484,2.02649432985351,1.39961218372799
2014-07-03,1.3946222021,1.93106330735141,0.999882983593438
2014-07-07,-1.1680276865,1.80370915952946,1.5414362643575
2014-07-08,-2.9201019337,1.59736374383575,2.21902596508271
2014-07-09,1.9023501438,1.7959439004501,2.7794279738083
2014-07-10,-0.62126860039,2.01356807852713,2.56535563773065
2014-07-11,5.5745303735,2.29357599629079,2.97070086140887
2014-07-14,2.6343154244,2.369159767038,2.42277508285618
2014-07-15,-0.24766407741,2.69195909577509,2.71958111480326
2014-07-16,0.41191739092,2.65254762984866,1.92684674539179
2014-07-17,-0.96824950833,2.78484106627492,2.11394187187782
2014-07-18,1.7607971538,2.49174910378824,1.3713801129696
2014-07-21,0.30669715034,2.49028508804746,2.14471223812978
2014-07-22,0.30020013346,2.12335045246514,1.62163963142442
2014-07-23,-0.74825407373,2.27929762391673,0.982358457021132
2014-07-24,0.13123359568,2.02127100007739,2.89469371744125
2014-07-25,-9.6483645187,1.7500718191915,6.80352122601982
2014-07-28,-1.1110768184,2.32823225386127,2.59619769830053
2014-07-29,-0.12796104993,3.93714248763831,1.42345362997767
2014-07-30,0.78437499997,2.92600401076442,2.074765819321
2014-07-31,-2.9518464543,2.60572284745511,1.59849939641831
2014-08-01,-1.8946292214,2.89618305371643,2.26988216303243
2014-08-04,2.1461603596,2.63236142747602,1.493717465003
2014-08-05,-0.42403953457,2.30877591960826,2.37775473134697
2014-08-06,0.50268954928,1.99274602082457,1.61899687208216
2014-08-07,-0.77734238112,2.3283965720525,1.86466411705552
2014-08-08,1.7177717129,2.08747099826369,1.51384094171964
2014-08-11,0.48295454562,2.17696259113679,0.960713123031894
2014-08-12,0.3109980209,1.99864149169666,1.17827761061098
2014-08-13,2.1796317173,1.79014687537401,1.66497963905039
2014-08-14,2.1239426262,1.7032309285062,0.73314033204321
2014-08-15,0.12604663716,1.82577786998673,1.57369032183175
2014-08-18,0.2697599135,1.45605248021669,0.83037220360411
